fact_no	status	fact_text
96	Admitted	That email of the Appellant was sent within the office hours Ms Taylor had stated to all Switchboard staff on 17 May 2024. (Annexure A, Tab 9)
97	Admitted	The Appellant's email of 20 May 2024 at 2:05 pm was sent three hours and two minutes after the email of Ms Marriott of that day at 11:03 am.
98	Admitted	The Appellant's email of 20 May 2024 at 2:05 pm was sent five days, two hours and eighteen minutes after the first email of Ms Marriott of 15 May 2024 at 11:47 am.
99	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that the Appellant was rostered to work after 2:05 pm on 20 May 2024.
100	Admitted	"On 20 May 2024 at 4:30 pm Ms Taylor replied to the Appellant, stating: ""Thank you for bringing this to my attention however this task was being actioned. I had discussed with Richard this morning about the update of outpatients respiratory/medical."" (Annexure A, Tab 11)"
101	Admitted	"That reply of Ms Taylor states: ""Taking note of your recommendation, we can also put the updated procedures out to the team for consultation before implementing."" (Annexure A, Tab 11)"
102	Admitted	Ms Taylor's reply of 20 May 2024 at 4:30 pm was sent two hours and twenty-five minutes after the Appellant's email of that day at 2:05 pm.
103	Admitted	That reply of Ms Taylor was sent two hours after the conclusion of the office hours she had stated to all Switchboard staff on 17 May 2024. (Annexure A, Tab 9)
104	Admitted	"Ms Taylor's reply of 20 May 2024 at 4:30 pm states that the matter had been discussed ""this morning"", being the morning of 20 May 2024. (Annexure A, Tab 11)"
105	Admitted	The Respondent's amended List of Documents dated 14 August 2026 does not list any document created on 20 May 2024 recording the discussion referred to in that reply.
106	Admitted	The Respondent's amended List of Documents dated 14 August 2026 does not list any document recording a communication sent by Ms Taylor to Ms Marriott, or to the Integrated Respiratory Service, on 20 May 2024.
107	Admitted	The Respondent's amended List of Documents dated 14 August 2026 does not list any document recording a communication sent by Mr Parry to Ms Marriott, or to the Integrated Respiratory Service, on 20 May 2024.
108	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that Mr Parry communicated with Ms Marriott, or with the Integrated Respiratory Service, on 20 May 2024.
109	Admitted	"The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that the document ""Outpatients Department - Clinic contact Details"" was amended at any time on or before 20 May 2024."
110	Admitted	"The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that the Switchboard staff were notified, at any time on or before 20 May 2024, of the modifications made to the document ""Outpatients Department - Clinic contact Details"" on 22 February 2024."
111	Admitted	"On 13 May 2024 at 4:29 pm Ms Ellen Stibbard sent an email to the Switchboard team, subject ""Switchboard After Hours On Call Manager PP24 13/5/24 - 26/5/24"", which states: ""Just advising you that I am on call after hours for Switch from today Monday 13/5/24 – Sunday 19/5/24. Chloe will then be on call from Monday 20/5/24 – Sunday 26/5/24. During business hours you are to still contact Chloe."" (Annexure A, Tab 8C)"
112	Admitted	Ms Stibbard's on-call roster email of 13 May 2024 was addressed to the Switchboard team and included Mr Richard Parry among its recipients. (Annexure A, Tab 8C)
113	Admitted	"Ms Taylor's email of 17 May 2024 at 9:30 am headed ""Switchboard Manager - On call and Hours."" included Mr Richard Parry among its recipients. (Annexure A, Tab 9) STRESSOR 1(d) - THE SPECIAL PANDEMIC LEAVE APPLICATION OF FEBRUARY 2024"
114	Admitted	"The myHR leave request history for Process Reference 15480560 records: ""Employee - Cory Shepherd : created draft"", 20.02.2024, 11:24:48. (Annexure A, Tab 28)"
115	Admitted	"That history records: ""Employee - Cory Shepherd : submitted request"", 20.02.2024, 11:41:27. (Annexure A, Tab 28)"
116	Admitted	"That history records: ""Reviewer - Chloe Donovan-Taylor : declined request"", 21.02.2024, 12:23:43. (Annexure A, Tab 28)"
117	Admitted	"That history records: ""Employee - Cory Shepherd : submitted request"", 28.02.2024, 06:07:32. (Annexure A, Tab 28)"
118	Admitted	"That history records: ""Reviewer - Chloe Donovan-Taylor : declined request"", 29.02.2024, 09:06:07. (Annexure A, Tab 28)"
119	Admitted	"That history records: ""Employee - Cory Shepherd : submitted request"", 29.02.2024, 11:07:28. (Annexure A, Tab 28)"
120	Admitted	"That history records: ""Reviewer - Chloe Donovan-Taylor : approved request"", 29.02.2024, 11:21:03. (Annexure A, Tab 28)"
121	Admitted	"That history records: ""Manager - Tammy Reese : approved request"", 01.03.2024, 16:05:08. (Annexure A, Tab 28)"
122	Admitted	That history records the Appellant as having submitted the request on three occasions. (Annexure A, Tab 28)
123	Admitted	That history records Ms Taylor as having declined the request on two occasions. (Annexure A, Tab 28)
124	Admitted	The interval between the submission recorded at 11:07:28 on 29 February 2024 and the approval recorded at 11:21:03 on the same day is thirteen minutes and thirty-five seconds.
125	Admitted	The interval between the draft recorded at 11:24:48 on 20 February 2024 and the approval recorded at 16:05:08 on 1 March 2024 is ten days, four hours, forty minutes and twenty seconds.
126	Admitted	"In that history Ms Taylor is identified as ""Reviewer"" and Ms Reese is identified as ""Manager"". (Annexure A, Tab 28)"
127	Admitted	"The Instrument of Human Resource Sub-Delegation, COVID-19 Pandemic Event - Paid Special Pandemic Leave, signed by Ms Noelle Cridland as A/Health Service Chief Executive on 23 November 2022 and effective as at 5 December 2022, sub-delegates ""the power to approve/not approve paid Special Pandemic Leave in accordance with Directives 05/17 and 01/20 respectively, for this pandemic event (COVID-19) only, to a Band 9 delegate"". (Annexure A, Tab 29)"
128	Admitted	"That Instrument states: ""This Instrument does not permit the further sub-delegation of the powers outlined in (a) above."" (Annexure A, Tab 29)"
129	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that Ms Taylor was a Band 9 delegate at any time in February 2024.
130	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that Ms Reese was a Band 9 delegate at any time in February or March 2024.
131	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not identify the person who exercised the power sub-delegated by the Instrument of Human Resource Sub-Delegation in respect of Process Reference 15480560.
132	Admitted	"The Respondent's amended statement of facts and contentions dated 13 May 2026 states at paragraph 14(c): ""Ms Taylor asked the appellant to submit a Special Pandemic Leave request via MyHR and attach a statutory declaration or photo evidence of his test""."
133	Admitted	"That amended statement of facts and contentions states at paragraph 14(d): ""Ms Taylor did decline the application because on her assessment, the required statutory declaration was not attached to the MyHR submission. Ms Taylor asked the appellant to resubmit""."
134	Admitted	"That amended statement of facts and contentions states at paragraph 14(e): ""says that a review indicates that in fact, the attachments were present on the appellant's submission""."
135	Admitted	"That amended statement of facts and contentions states at paragraph 14(f): ""says this was a matter of human error by Ms Taylor on the background of high work demands surrounding the management of staff with COVID-19""."
136	Admitted	"Review Decision 69983 records that on 20 February 2024 the Appellant messaged Ms Taylor stating he had tested positive for Covid, and that Ms Taylor ""requested that you send it to her so she could submit it in MyHR"". (Annexure A, Tab 25)"
137	Admitted	"Review Decision 69983 records: ""On 21 February 2024 Ms Taylor then messaged you and informed she had to decline your request in MyHR because the minimum period for Covid leave was 5 days for a positive staff member."" (Annexure A, Tab 25)"
138	Admitted	"That decision records that Ms Taylor ""noted the statutory declaration you provided was sufficient evidence"" and ""requested for you to resubmit your leave days"". (Annexure A, Tab 25)"
139	Admitted	"That decision records that the Appellant ""messaged you were confused about why your amended leave request was declined"" and ""noted you did everything as required"". (Annexure A, Tab 25)"
140	Admitted	"The myHR submissions report produced by Metro South Health as Item 11 of the notice of non-party disclosure records a Smart Leave Request with process number 15480560, submitted on 20 February 2024, with an effective date of 20 February 2024, a processing date of 1 March 2024, and a status of ""Completed"". (Annexure A, Tab 15)"
141	Admitted	That report records the initiator of that Smart Leave Request as the Appellant. (Annexure A, Tab 15)
142	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that any other Switchboard employee was required to submit a Special Pandemic Leave request personally through myHR in February 2024. STRESSOR 1(b) - THE COMMUNICATION BOOK, AND MS TAYLOR'S EMAIL OF 6 JUNE 2023
143	Admitted	"The Respondent's amended statement of facts and contentions dated 13 May 2026 states at paragraph 12(a): ""admits that the Ms Taylor [sic] did remove pages from the Communication Book on or around 6 June 2023""."
144	Admitted	"That amended statement of facts and contentions states at paragraph 12(b): ""says this event was reported from Ms Taylor to Ms Reese on 6 June 2023 via email""."
145	Admitted	"On 6 June 2023 at 4:05 pm Ms Taylor sent an email to Ms Reese with the subject ""Fwd: Communication Book Update"". (Annexure A, Tab 1B)"
146	Admitted	"That email states: ""I was not aware of who put this entry in at the time but I took it out last week as it was clearly an indirect dig at the team and there is already a procedure to follow with this certain entry."" (Annexure A, Tab 1B)"
147	Admitted	"That email states: ""I just feel like it's being used as a 'burn book' more than a professional tool that switchboard can use to communicate."" (Annexure A, Tab 1B)"
148	Admitted	"Beneath it in the same document is Ms Taylor's email to Logan Switch of 6 June 2023 at 9:57 am, subject ""Communication Book Update"", copied to Switchboard staff including the Appellant. (Annexure A, Tab 1B)"
149	Admitted	"That email of 9:57 am states: ""This is not used to simply put your point across or make any indirect comments towards the team."" (Annexure A, Tab 1B)"
150	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not identify the entry Ms Taylor removed from the Communication Book, or its author.
151	Admitted	That amended statement of facts and contentions, as presently constituted, does not allege that the removed page has been located, or that any copy of it exists.
152	Admitted	That amended statement of facts and contentions, as presently constituted, does not allege that any entry made by the Appellant remains in the Communication Book.
153	Admitted	That amended statement of facts and contentions, as presently constituted, does not allege that the Communication Book ceased to be in the possession of Metro South Hospital and Health Service at any time during the Appellant's employment.
154	Not admitted	The Respondent's amended List of Documents dated 14 August 2026 does not list the Communication Book, nor any page or entry from it. STRESSOR 1(c) - THE MATTERS RAISED IN AUGUST AND SEPTEMBER 2023, AND THE RESPONSE
155	Admitted	"The Appellant's email of 7 August 2023 at 12:21 pm states: ""Please give me some space and stop with any further communication as I have had enough of it."" (Annexure A, Tab 2)"
156	Admitted	"On 7 August 2023 at 1:43 pm Ms Taylor replied to the Appellant, copied to Ms Reese and Ms Smith, stating: ""My sincere apologises about your rostered Monday 7th 0700-1500 shift, I can confirm this was an oversight."" (Annexure A, Tab 4)"
157	Admitted	"That email of Ms Taylor states: ""Would you like me to roster you off tomorrow Tuesday 8th 0700-1500 to give you the required rest period"". (Annexure A, Tab 4)"
158	Admitted	"On 7 August 2023 at 3:13 pm Ms Reese replied to the Appellant stating: ""As Chloe is your current line manager and as such you are required to continue to communicate with Chloe for work related issues, shift concerns, leave, etc."" (Annexure A, Tab 2)"
159	Admitted	"On 7 August 2023 at 5:11 pm Ms Reese sent an email to Ms Taylor attaching a document titled ""Rostered shifts Cory S. past 8 months.xlsx"", which states: ""can I ask if you can send me an email of your recent communication with Cory about contacting yourself about missed shifts, as I could not find a copy of this email."" (Annexure A, Tab 4)"
